source,ID1,ID2,state,decimallatitude,decimallongitude,elevationinm,day,month,year,julianday,julianday.corrected,ecoregion,climatecluster,photoperiod,Tave,PPT,PPT.sqrt
NEON,HARV,49bd66cb-1a85-4856-b36f-4417723a4380,1,42.45146,-72.2518,176.7,8,7,2013,188,188,EASTERN TEMPERATE FORESTS,1,15.17452141,20.13225806,239.8064516,15.48568538
NEON,HARV,10c3d24c-5279-4ee1-a06f-e4bae0f19662,1,42.45146,-72.2518,176.7,9,7,2013,189,189,EASTERN TEMPERATE FORESTS,1,15.15799264,20.26129032,235.0322581,15.33076182
NEON,HARV,8ab25e73-c136-44d0-bd4a-02683577fd2c,0,42.443394,-72.225117,241,11,7,2013,191,191,EASTERN TEMPERATE FORESTS,1,15.1210974,20.11935484,224.8387097,14.99462269
NEON,HARV,d37f5be6-098a-44ec-89cf-3fcde34e5cbd,0,42.443394,-72.225117,241,12,7,2013,192,192,EASTERN TEMPERATE FORESTS,1,15.101675,20.2483871,220.0967742,14.83565887
NEON,HARV,9c6c6b97-2c9a-4d92-b044-b7dc82659a33,0,42.412979,-72.226194,173.8,12,7,2013,192,192,EASTERN TEMPERATE FORESTS,1,15.0982791,20.60967742,218.0967742,14.76809988
NEON,HARV,f465637f-1744-4e78-8af5-1030d698755f,0,42.401991,-72.254785,185.7,13,7,2013,193,193,EASTERN TEMPERATE FORESTS,1,15.0767299,20.77741935,211.7741935,14.55246349
NEON,HARV,4ecee2d8-8eb3-43ec-9d33-17889ccdda0c,1,42.45146,-72.2518,176.7,5,8,2013,216,190,EASTERN TEMPERATE FORESTS,1,15.14048233,20.39032258,230.2580645,15.17425664
NEON,HARV,4192388d-e184-4367-8d98-0e88efa328b9,0,42.45146,-72.2518,176.7,6,8,2013,217,217,EASTERN TEMPERATE FORESTS,1,14.35898293,22.44193548,119.7419355,10.94266583
NEON,HARV,98f86f2d-d436-45bc-9634-a95008fdd3da,1,42.45146,-72.2518,176.7,6,8,2013,217,217,EASTERN TEMPERATE FORESTS,1,14.35898293,22.44193548,119.7419355,10.94266583
NEON,HARV,468f80e2-c89f-4fa1-b690-309e31cd1740,1,42.45146,-72.2518,176.7,6,8,2013,217,217,EASTERN TEMPERATE FORESTS,1,14.35898293,22.44193548,119.7419355,10.94266583
NEON,HARV,e8859fd4-1f3c-40a4-afd4-8ebda8eb97f8,1,42.443394,-72.225117,241,6,8,2013,217,217,EASTERN TEMPERATE FORESTS,1,14.35831963,22.04193548,119.7419355,10.94266583
NEON,HARV,61ee52a3-c51c-476f-9662-8ec8886d0769,1,42.45146,-72.2518,176.7,7,8,2013,218,192,EASTERN TEMPERATE FORESTS,1,15.10257626,20.6483871,220.7096774,14.85630093
NEON,HARV,a67876e6-40dc-4666-bd96-580de4e0613f,0,42.45146,-72.2518,176.7,7,8,2013,218,218,EASTERN TEMPERATE FORESTS,1,14.32107233,22.33225806,118.0322581,10.86426519
NEON,HARV,5bdf88ce-f8e2-4f08-97e7-acbd711d976f,0,42.412979,-72.226194,173.8,9,8,2013,220,220,EASTERN TEMPERATE FORESTS,1,14.24087028,22.04193548,113.1935484,10.63924567
NEON,HARV,2097283c-7c6c-449a-bd9a-221ad972bece,0,42.412979,-72.226194,173.8,9,8,2013,220,220,EASTERN TEMPERATE FORESTS,1,14.24087028,22.04193548,113.1935484,10.63924567
NEON,HARV,1c186fdf-6611-4dfb-85c3-7ae2ce8dc088,1,42.401991,-72.254785,185.7,10,8,2013,221,221,EASTERN TEMPERATE FORESTS,1,14.20082435,22.00322581,110.8709677,10.52952837
NEON,HARV,48c6ae5f-a7c2-45a3-82b5-33296ebd2e68,0,42.401991,-72.254785,185.7,10,8,2013,221,221,EASTERN TEMPERATE FORESTS,1,14.20082435,22.00322581,110.8709677,10.52952837
NEON,HARV,e6198d15-bc5b-454d-9c5f-e7bc4032ca3d,1,42.45146,-72.2518,176.7,9,9,2013,251,251,EASTERN TEMPERATE FORESTS,1,12.88934745,18.5,85.1,9.224966125
NEON,HARV,52d908f0-b2f3-4ea5-b4d7-398733295c20,1,42.461612,-72.228594,240.6,9,9,2013,251,251,EASTERN TEMPERATE FORESTS,1,12.88963582,18.1,84.8,9.208691547
NEON,HARV,74f8a68d-fd07-4e3b-b25e-472ae71c8c11,0,42.45146,-72.2518,176.7,9,9,2013,251,251,EASTERN TEMPERATE FORESTS,1,12.88934745,18.5,85.1,9.224966125
NEON,HARV,8a17fab3-a4bb-4331-99ac-651fd9937f32,0,42.45146,-72.2518,176.7,9,9,2013,251,251,EASTERN TEMPERATE FORESTS,1,12.88934745,18.5,85.1,9.224966125
NEON,HARV,655a9782-0500-4987-9f4f-c9e4c34ad6ac,0,42.45146,-72.2518,176.7,11,9,2013,253,253,EASTERN TEMPERATE FORESTS,1,12.79587875,18.23333333,86.9,9.322016949
NEON,HARV,c3d3d1be-3099-4856-984e-716b7544ede7,0,42.401991,-72.254785,185.7,12,9,2013,254,254,EASTERN TEMPERATE FORESTS,1,12.74784737,18.06,88.2,9.391485505
NEON,HARV,a5955129-4a49-4aab-b328-139f98f3deb2,0,42.401991,-72.254785,185.7,13,9,2013,255,255,EASTERN TEMPERATE FORESTS,1,12.70097212,17.92333333,89.13333333,9.44104514
NEON,HARV,b9297a2e-ed07-4c69-93db-989734037332,0,42.401991,-72.254785,185.7,13,9,2013,255,255,EASTERN TEMPERATE FORESTS,1,12.70097212,17.92333333,89.13333333,9.44104514
NEON,HARV,cb7b2d9c-ea0c-4c32-bee2-79a70ca724cf,1,42.401991,-72.254785,185.7,13,9,2013,255,229,EASTERN TEMPERATE FORESTS,1,13.87343183,21.12580645,97.96774194,9.897865524
NEON,HARV,9cdaaab5-774d-425a-9f8d-cf4467120fed,1,42.45146,-72.2518,176.7,30,9,2013,272,272,EASTERN TEMPERATE FORESTS,1,11.89639938,15.7,104,10.19803903
NEON,HARV,71772e9b-2905-4384-84e9-11cc645d8154,1,42.45146,-72.2518,176.7,30,9,2013,272,246,EASTERN TEMPERATE FORESTS,1,13.12109506,19.16666667,80.6,8.977750275
NEON,HARV,2c81eaa6-94a1-494a-bc4c-ba745002ae99,0,42.461612,-72.228594,240.6,30,9,2013,272,272,EASTERN TEMPERATE FORESTS,1,11.89633333,15.3,103,10.14889157
NEON,HARV,1610c793-a33f-40f6-98dc-d51b716cbd21,0,42.443394,-72.225117,241,1,10,2013,273,273,EASTERN TEMPERATE FORESTS,1,11.84895069,15.14516129,101.8387097,10.09151672
NEON,HARV,ab2f5a15-9771-4647-82a1-eaea5e904467,0,42.45146,-72.2518,176.7,1,10,2013,273,273,EASTERN TEMPERATE FORESTS,1,11.84888477,15.54516129,101.8709677,10.09311487
NEON,HARV,735effce-819a-4230-986a-acfc08e0991d,1,42.45146,-72.2518,176.7,2,10,2013,274,248,EASTERN TEMPERATE FORESTS,1,13.02876005,18.9,82.4,9.077444574
NEON,HARV,e396590a-23af-486a-ab09-cd77bc8763a3,0,42.461612,-72.228594,240.6,2,10,2013,274,274,EASTERN TEMPERATE FORESTS,1,11.80129128,14.99032258,98.74193548,9.936897679
NEON,HARV,07442d19-35f5-4409-8c97-8cb5961b274d,1,42.45146,-72.2518,176.7,2,10,2013,274,248,EASTERN TEMPERATE FORESTS,1,13.02876005,18.9,82.4,9.077444574
NEON,HARV,49f89dda-1b46-4371-a487-e5a16d210dcc,1,42.401991,-72.254785,185.7,3,10,2013,275,275,EASTERN TEMPERATE FORESTS,1,11.75449321,15.14516129,98.41935484,9.920652944
NEON,HARV,7f264920-5176-4ee0-ab87-3f5a6b84c374,1,42.401991,-72.254785,185.7,4,10,2013,276,250,EASTERN TEMPERATE FORESTS,1,12.93444495,18.60666667,84.46666667,9.190574882
NEON,HARV,ae90495b-45d6-462e-bf14-2db448c48e68,1,42.401991,-72.254785,185.7,4,10,2013,276,276,EASTERN TEMPERATE FORESTS,1,11.70714154,14.99354839,96.22580645,9.80947534
NEON,HARV,4f0c5fea-3405-4471-9086-77d0aa7aef47,1,42.401991,-72.254785,185.7,4,10,2013,276,250,EASTERN TEMPERATE FORESTS,1,12.93444495,18.60666667,84.46666667,9.190574882
NEON,HARV,b429cb95-a717-4172-85be-077e84757af0,0,42.422943,-72.258721,200.7,4,10,2013,276,276,EASTERN TEMPERATE FORESTS,1,11.70686587,14.98064516,96.22580645,9.80947534
NEON,HARV,77988d49-7c82-486a-96d1-170715b0c4ae,1,42.401991,-72.254785,185.7,5,10,2013,277,277,EASTERN TEMPERATE FORESTS,1,11.65982864,14.84193548,94.03225806,9.697023155
NEON,HARV,06d8cfc4-145a-4afe-b369-84d8abd17f6a,0,42.401991,-72.254785,185.7,5,10,2013,277,277,EASTERN TEMPERATE FORESTS,1,11.65982864,14.84193548,94.03225806,9.697023155
NEON,BART,0297ddbd-7c0c-4b27-936a-91389ab6171d,1,44.046877,-71.305115,463.7,28,5,2014,147,121,NORTHERN FORESTS,1,14.1452147,4.551612903,114.1935484,10.68613814
NEON,BART,c18faccd-645c-4f7a-83dd-bb4f84f6905d,0,44.051112,-71.298377,382.7,30,5,2014,149,149,NORTHERN FORESTS,1,15.1668769,11.17419355,114.9354839,10.72079679
NEON,BART,cd40a7a7-7004-4b37-9979-ba7a428098a1,0,44.046877,-71.305115,463.7,28,6,2014,178,178,NORTHERN FORESTS,1,15.47964265,16.14,129.1333333,11.36368485
